Item,Variation,Category,Price,InStock,OnSale,Clearance,NorwichQty,GrotonQty
ASSY Pivot Travel Case,,ASSY,49.99,Y,N,N,862,910
ASSY PuffCo Pivot Mouthpiece Slate,,ASSY,19.99,N,N,N,0,0
ASSY Replacement GLASS TFV16,,ASSY,6.99,Y,N,N,986,999
ASSY Replacement GLASS TFV18,Regular,ASSY,6.99,N,N,N,0,-19
ASSY Replacement GLASS Zeus Nano,,ASSY,4.99,Y,N,N,989,988
ASSY Scorch Torch X-Series Blast Torch,,ASSY,27.99,Y,N,N,1000,1000
ASSY Superior Balance SR-1000 High Capacity Pocket Digital Scale 1000g x 0.1g,,ASSY,11.99,Y,N,N,997,1000
ASSY Truweigh CLASSIC Digital Mini Scale 1000g x 0.1g Black,,ASSY,12.99,Y,N,N,999,1000
ASSY Truweigh CRIMSON Collapsible Bowl Scale 200g x 0.01g Black,,ASSY,29.99,Y,N,N,1000,1000
ASSY Truweigh Predator Digital Mini Scale - 100g x 0.01gb - Black,Regular,ASSY,24.99,N,N,N,0,0
ASSY Truweigh Predator Digital Mini Scale - 100g x 0.01gb - Purple,Regular,ASSY,24.99,N,N,N,0,0
ASSY Truweigh TUFF-Weigh Digital Mini Scale 100g x 0.01g Black,,ASSY,22.99,Y,N,N,1000,1000
ASSY UD Vape Bag Case,,ASSY,29.99,Y,N,N,1000,1000
ASSY Unicorn Bottles 100ML,,ASSY,2.99,Y,N,N,1000,1000
ASSY Unicorn Bottles 30 ML,,ASSY,0.99,Y,N,N,1000,1000
ASSY Unicorn Bottles 60 ML,,ASSY,1.99,Y,N,N,1000,999
ASSY WOTOFO XFiber Organic 10pc Cotton 6mm (for Profile RDA),,ASSY,5.99,Y,N,N,1000,1000
ASSY Wraps Coils - Comp Aliens 26/36 4 wrap .08 Ohm 3.5mm,,ASSY,18.99,Y,N,N,998,999
ASSY Wraps Coils - Comp Fraples 0.07,,ASSY,18.99,Y,N,N,998,1000
ASSY Wraps Coils - Flat Baby 0.06 Ohm 3mm,,ASSY,22.99,Y,N,N,1000,1000
ASSY Wraps Coils - Flat Baby 1.0 Ohm 3mm,,ASSY,22.99,Y,N,N,999,1000
ASSY Wraps Coils - Predators 26/36 5 wrap .05 Ohm 3mm N90 Comp Wire,,ASSY,22.99,Y,N,N,993,999
ASSY Wraps Coils - Series Aliens 0.3,,ASSY,23.00,Y,N,N,999,1000
ASSY Yocan Hit Mouthpiece (2pc),,ASSY,6.99,Y,N,N,999,1000
CBD Dose Disposable ISO-5 2ML Berry,,CBD,15.99,Y,N,N,1000,1000
CBD Koi Balance Bar - Blueberry Cake,Regular,CBD,29.99,N,N,N,0,-1
CBD Koi Balance Bar - Cola Ice,,DISP,29.99,N,N,N,-8,0
CBD Koi Balance Bar - Piña Colada Ice,,DISP,29.99,N,N,N,-7,-2
CBD Koi Balance Bar - Sour Apple Ice,,DISP,29.99,N,N,N,-11,-2
CBD Koi Balance Bar - Sour Gummy,Regular,CBD,29.99,N,N,N,0,-3
CBD Koi Balance Bar - Strawberry Banana Ice,,DISP,29.99,N,N,N,-11,-1
CBD Koi Balance Bar - Strawberry Milk,Regular,CBD,29.99,N,N,N,0,-2
CBD Koi Balance Bar - Watermelon Bubblegum Ice,,DISP,29.99,N,N,N,-14,-2
CBD Koi CBD Roll-On Gel 1500 Mg CBD,,D9,39.99,Y,N,N,996,1000
CBD Koi CBG + CBC Gummies 20CT - Fruit Punch,,DISP,29.99,N,N,N,-3,0
"CBD Koi Cat Treats, Salmon Flavor, 75 pcs, 150 mg",,CBD,24.99,Y,N,N,994,1000
"CBD Koi Complete CBN Gummies CBD, CBN, Delta 9 THC - Black Cherry",,D11,39.99,Y,N,N,992,1000
"CBD Koi Complete CBN Gummies CBD, CBN, Delta 9 THC - Orange Cream",,D10,39.99,Y,N,N,997,998
CBD Koi Complete Full Spectrum CBD Gummies 30CT- Grape,,DISP,29.99,N,N,N,-3,-1
CBD Koi Complete Full Spectrum CBD Gummies 30CT- Pineapple,,DISP,29.99,N,N,N,-3,0
"CBD Koi Dog Biscuits Treats, Calming – Green Apple & Peanut Butter, 30 pcs, 150 mg",,CBD,29.99,Y,N,N,995,1000
"CBD Koi Dog Biscuits Treats, Immune Support – Blueberry & Sweet Potato, 30 pcs, 150 mg",,CBD,29.99,Y,N,N,998,998
"CBD Koi Dog Biscuits Treats, Joint Support – Pumpkin Spice & Cinnamon, 30 pcs, 150 mg",,CBD,29.99,Y,N,N,997,999
CBD Koi Extra Strength Delta 8 THC Gummies 1500Mg - Blueberry,,D12,49.99,Y,N,N,998,998
CBD Koi Extra Strength Delta 8 THC Gummies 1500Mg - Tropical Punch,,D13,49.99,Y,N,N,1000,1000
CBD Koi FOR PETS Naturals Soft Chews,,CBD,24.99,Y,N,N,1000,999
CBD Koi Full Spectrum CBD + CBG Disposable Vape Bar (2 Gram) - Pineapple Punch (Sativa),,D8,39.99,Y,N,N,994,998
CBD Koi Full Spectrum CBD + CBN Disposable Vape Bar (2 Gram) - Papaya Twist (Indica),,D8,39.99,Y,N,N,993,998
CBD Koi Full Spectrum CBD Disposable Vape Bar (2 Gram) - Hawaiian Driver (Hybrid),,D8,39.99,Y,N,N,997,998
CBD Koi Gummies 20pc 200mg Anytime,,CBD,24.99,Y,N,N,990,997
CBD Koi Gummies 20pc 200mg Nighttime,,CBD,24.99,Y,N,N,985,996
CBD Koi Gummies 60pc 600mg Anytime,,CBD,59.99,Y,N,N,995,1000
CBD Koi Gummies 60pc 600mg Nighttime,,CBD,59.99,Y,N,N,992,993
CBD Koi Gummies 6pc 60mg Anytime,,CBD,9.99,Y,N,N,1000,1000
CBD Koi Gummies 6pc 60mg Nighttime,,CBD,9.99,Y,N,N,1000,1000
CBD Koi Hemp Extract CBD Vape Juice Blue Raspberry Dragon Fruit 30ml 1000mg,,CBD,39.99,Y,N,N,996,998
CBD Koi Hemp Extract CBD Vape Juice Flavorless 30ml 1000MG,,CBD,39.99,Y,N,N,1000,1000
CBD Koi Hemp Extract CBD Vape Juice Pink Lemonade 30ml 1000MG,,CBD,39.99,Y,N,N,999,1000
CBD Koi Hemp Extract CBD Vape Juice Strawberry Milkshake 30ml 1000MG,,CBD,39.99,Y,N,N,1000,1000
CBD Koi Hemp Extract CBD Vape Juice Tropical Popsicle 30ml 1000MG,,CBD,39.99,Y,N,N,1000,1000
CBD Koi Hemp Extract CBD Vape Juice Vanilla Caramel Custard 30ml 1000mg,,CBD,39.99,Y,N,N,1000,1000
CBD Koi Hemp Extract CBD Vape Juice Watermelon Green Apple Sour 30ml 1000mg,,CBD,39.99,Y,N,N,997,999
CBD Koi Lotion Citrus Burst 4.25oz (125ml) 200MG,,CBD,29.99,Y,N,N,1000,1000
CBD Koi Lotion Lavender Lotion 4.25oz (125ml) 200MG,,CBD,29.99,Y,N,N,999,1000
CBD Koi Lotion Pink Grapefruit 4.25oz (125ml) 200MG,,CBD,29.99,Y,N,N,999,1000
CBD Koi Naturals Hemp Extract CBD Balm Full Size 1000mg,,CBD,69.99,Y,N,N,1000,1000
CBD Koi Naturals Hemp Extract CBD Balm Full Size 500mg,,CBD,39.99,Y,N,N,997,998
CBD Koi Naturals Hemp Extract CBD Balm Travel Size 150mg,,CBD,19.99,Y,N,N,993,999
CBD Koi Naturals Pet Spray 500MG 60ML,,CBD,49.99,Y,N,N,1000,1000
CBD Koi Pet Dog Chews Calming CBD Soft Chews 30CT - Peanut Butter & Banana,,DISP,29.99,N,N,N,-7,0
CBD Koi Pet Dog Chews Hip & Joint CBD Soft Chews 30CT - Chicken,,DISP,29.99,N,N,N,-11,0
CBD Koi Pet Dog Chews Omega Hemp CBD Soft Chews 30CT - Bacon,,DISP,29.99,N,N,N,-8,-1
CBD Koi PreRoll Single 1g Lifter,,CBD,9.99,Y,N,N,1000,1000
CBD Koi PreRoll Single 1g Sour Space Candy,,CBD,9.99,Y,N,N,1000,1000
CBD Koi PreRoll Single 1g Special Sauce,,CBD,9.99,Y,N,N,1000,1000
CBD Koi Tropical Fruit Soft Gummies Koi Gummie 20-PACK,,CBD,29.99,Y,N,N,1000,1000
CBD Koi Tropical Fruit Soft Gummies Koi Gummie 6-PACK,,CBD,9.99,Y,N,N,1000,1000
CBD Koi Tropical Fruit Soft Gummies Koi Sour 20-PACK,,CBD,29.99,Y,N,N,1000,1000
CBD Koi Tropical Fruit Soft Gummies Koi Sour 6-PACK,,CBD,9.99,Y,N,N,1000,1000
COIL APX Wax Barb SINGLE CAW,,Coil,11.99,Y,N,N,1000,1000
COIL APX Wax Triple Quartz SINGLE CAW,,Coil,11.99,Y,N,N,999,1000
COIL Aspire AVP Pro 0.65 PACK OF 5 CAA,,Coil,11.99,Y,N,N,1000,1000
COIL Aspire AVP Pro 0.65 SINGLE COIL CAA,,Coil,2.99,Y,N,N,1000,1000
COIL Aspire AVP Pro 1.15 PACK OF 5 CAA,,Coil,11.99,Y,N,N,1000,1000
COIL Aspire AVP Pro 1.15 SINGLE COIL CAA,,Coil,2.99,Y,N,N,1000,1000
COIL Aspire Atlantis 0.3 PACK OF 5 CAA,,Coil,19.49,Y,N,N,1000,1000
COIL Aspire Atlantis 0.3 SINGLE COIL CAA,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire Atlantis 0.5 PACK OF 5 CAA,,Coil,18.99,Y,N,N,1000,1000
COIL Aspire Atlantis 0.5 SINGLE COIL CAA,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire Atlantis 1.0 PACK OF 5 CAA,,Coil,18.99,Y,N,N,1000,1000
COIL Aspire Atlantis 1.0 SINGLE COIL CAA,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire Atlantis EVO 0.4 PACK OF 5 CAA,,Coil,18.99,Y,N,N,1000,1000
COIL Aspire Atlantis EVO 0.4 SINGLE COIL CAA,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire Atlantis EVO 0.5 PACK OF 5 CAA,,Coil,18.99,Y,N,N,1000,1000
COIL Aspire Atlantis EVO 0.5 SINGLE COIL CAA,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire BP 0.17ohm PACK OF 5 CAB,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire BP 0.17ohm SINGLE CAB,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire BP 0.3ohm PACK OF 5 CAB,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire BP 0.3ohm SINGLE CAB,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire BP 0.6ohm PACK OF 5 CAB,,Coil,19.99,Y,N,N,1000,999
COIL Aspire BP 0.6ohm SINGLE CAB,,Coil,4.99,Y,N,N,1000,1000
COIL Aspire BVC 1.6 PACK OF 5 CAB,,Coil,15.99,Y,N,N,1000,1000
COIL Aspire BVC 1.6 SINGLE CAB,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire BVC 1.8 PACK OF 5 CAB,,Coil,13.99,Y,N,N,1000,1000
COIL Aspire BVC 1.8 SINGLE CAB,,Coil,3.49,Y,N,N,1000,1000
COIL Aspire Breeze 0.6 PACK OF 5 CAB,,Coil,12.99,Y,N,N,1000,1000
COIL Aspire Breeze 0.6 SINGLE COIL CAB,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire Breeze 1.2 PACK OF 5 CAB,,Coil,12.99,Y,N,N,1000,1000
COIL Aspire Breeze 1.2 SINGLE CAB,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire Breeze 2 1.0 PACK OF 5 CAB,,Coil,14.49,Y,N,N,1000,1000
COIL Aspire Breeze 2 1.0 SINGLE CAB,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire Cleito 0.2 PACK OF 5 CAC,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire Cleito 0.2 SINGLE COIL CAC,,Coil,5.49,Y,N,N,1000,1000
COIL Aspire Cleito 0.4 PACK OF 5 CAC,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire Cleito 0.4 SINGLE COIL CAC,,Coil,5.49,Y,N,N,1000,1000
COIL Aspire Cleito 120 0.15 PACK OF 5 CAC,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire Cleito 120 0.15 SINGLE CAC,,Coil,5.49,Y,N,N,1000,1000
COIL Aspire Cleito 120 0.16 PACK OF 5 CAC,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire Cleito 120 0.16 SINGLE COIL CAC,,Coil,5.49,Y,N,N,1000,1000
COIL Aspire Cleito 120 Pro EXO 0.5 PACK OF 5 CAC,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire Cleito 120 Pro EXO 0.5 SINGLE CAC,,Coil,5.49,Y,N,N,1000,1000
COIL Aspire Cleito Mesh 0.15 PACK OF 5 CAC,,Coil,19.99,Y,N,N,1000,1000
COIL Aspire Cleito Mesh 0.15 SINGLE COIL CAC,,Coil,5.49,Y,N,N,1000,1000
COIL Aspire Nautilus 2 BVC 0.7 PACK OF 5 CAN,,Coil,14.99,Y,N,N,999,998
COIL Aspire Nautilus 2 BVC 0.7 SINGLE CAN,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire Nautilus 2S 0.4 PACK OF 5 CAN,,Coil,13.99,Y,N,N,999,1000
COIL Aspire Nautilus 2S 0.4 SINGLE COIL CAN,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire Nautilus AIO 1.8 PACK OF 5 CAN,,Coil,14.99,Y,N,N,1000,1000
COIL Aspire Nautilus AIO 1.8 SINGLE COIL CAN,,Coil,3.99,Y,N,N,1000,1000
COIL Aspire Nautilus BVC 1.6 PACK OF 5 CAN,,Coil,15.99,Y,N,N,1000,1000
